postUrl,description,commentCount,likeCount,pubDate,likedByViewer,isSidecar,type,videoUrl,viewCount,caption,profileUrl,username,imgUrl,postId,timestamp,query,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,location,locationId,fullName,playCount,videoDuration,taggedFullName7,taggedUsername7
https://www.instagram.com/p/CivEjLsjy3K/,"Dans notre patrimoine, le téléphone évidemment !

These phones. our legacy. our patrimony. 

#heritage #patrimoine #allo #phonebox #smartphone #souvenirs #backintime #vintage #recycling #recyclage #goodbyeoldphone",21,112,2022-09-20T16:37:34.000Z,false,false,Video,https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/308002681_656946595623366_8548854505727148535_n.mp4?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=nMat7k3ObNwAX8-MT7M&edm=AOQ1c0wBAAAA&ccb=7-5&oe=634E1AE0&oh=00_AT_qzTFgBVBRaAOyRH7AAJKl3hbQaybMsHDUQepV71F0vg&_nc_sid=8fd12b,67594,,https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/307860051_1282350022608894_6615784809376364217_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=8UXW7IRBxEMAX-gNcbk&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-ZDSaDi0zTJPof0i09e8e_a52WxoqnclBXa17ctVhRFA&oe=634E6355&_nc_sid=8fd12b,2931581892367953354,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cimk8a1N_kI/,"I’m not in a phone box. 
Je t’appelle de la rue. De la rue ! 

Qui se souvient ? ☝️ 
(Ps.: vous pouvez recycler vos anciens téléphones ♻️)

Just remembering this time. Just fabulous 📞📱

#heritage #patrimoine #allo #phonebox #smartphone #souvenirs #backintime #vintage #recycling #recyclage #goodbyeoldphone #journeesdupatrimoine",35,270,2022-09-17T09:30:30.000Z,false,false,Video,https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/306786356_776652293448041_2989011082499608952_n.mp4?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ugGYWdC7nzMAX8noZeZ&edm=AOQ1c0wBAAAA&ccb=7-5&oe=634E1BDB&oh=00_AT8BGCQsFuMlsogEf-d8B0lb1O9pzqdsYv7vXJx8c_JB4Q&_nc_sid=8fd12b,53571,,https://www.instagram.com/orange,orange,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/306928466_1800587680282185_4727750468276412135_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=fcK0PBk8LCsAX9Hw2Iy&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8BZRYBYZsNbS1tK80_88G5-Yd7LV2ABNrakLEi62McHg&oe=634E7D8A&_nc_sid=8fd12b,2929191089304238344,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CUaCFg0NXy-/,"Welcome and let’s ride 😎

Bridge : la vitrine d’Orange en France et dans le Monde. 
Un lieu conçu comme un véritable pont entre tous nos salariés et nos partenaires dans le monde. 
Un lieu de connexion et d’interaction. 
Un lieu plein de modernisme. 
〰️ Une découverte inédite avec Matthias Dandois. 

🚲 @matthiasdandois 
📸 @pierreblondel____ 

Bridge: Orange’s showcase in France and around the world.
A place designed as a real bridge between all our employees and our partners around the world.
A place of connection and interaction.
A place full of modernism.
An unprecedented discovery with Matthias Dandois.

#headquarter #officewithaview #unlocked 
#backatit #bmx #newtrick 
#bridge #lifeatorange",37,667,2021-09-29T13:12:28.000Z,false,false,Video,https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/10000000_239295278156900_1680586508346788660_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=pCuTUjhx5lQAX_RJI-M&edm=AOQ1c0wBAAAA&vs=138972121767788_515138563&_nc_vs=HBksFQAYJEdJQ1dtQUJrREExR285a0FBRFFMVTNTR3BGSVhicV9FQUFBRhUAAsgBABUAGCRHQjQ0Znc0UjZmT2NJQ1FDQU56dGxNOG5lRGRtYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmruCdmoiUwz8VAigCQzMsF0BN92yLQ5WBGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&ccb=7-5&oe=634E8566&oh=00_AT_Opu8lHvAxTqJp1O1kJRFmOPWAIBak5oDUngEEM2B_qA&_nc_sid=8fd12b,8573,,https://www.instagram.com/orange,orange,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/243475536_381355893479077_547300710658742814_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=29kOR4e2kxcAX8R__nU&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_K3oJ3VKzyKLUuauk2i9UXPQH7WJ_qf-zOjABxksm_jQ&oe=634E2288&_nc_sid=8fd12b,2673458503723875518,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cjs64inot_g/,"#ConnectWith @matthiasdandois au Pic du Midi🙌
🏔️Perchée à 2877m d’altitude, l’antenne du Pic du midi s’élève à +de 100m !
Construite en 1959, son installation fut un vrai défi technique sur un sommet où les vents atteignent 270km/h🌬️ 

📸 @axel.massin / @asiprod

#ConnectWith @matthiasdandois at the top of the Pic du Midi🙌
🏔️ At 2877m of altitude, the antenna of the Pic du Midi rises to over 100m!
Built in 1959, its installation was a real technical challenge on a summit where winds can reach 270km/h🌬️ 

#PicDuMidi #Rider #Wireless
#Pictoftheday #travel #enjoylife",2,101,2022-10-14T17:05:27.000Z,false,true,Photo,,,"Photo shared by Orange on October 14, 2022 tagging @matthiasdandois, @lotfiwoodwalker, @axel.massin, @samuelvolery, @tia.balacey, and @asiprod. May be an image of nature.",https://www.instagram.com/orange,orange,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/311507143_159291296745383_7712494795137101324_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ImIjM59OCQwAX8gVBTu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9IwQvqb4-vP2PS-IzGqED4T6kjn-w6fU30nmPzlmMuUA&oe=63534013&_nc_sid=8fd12b,2948990783218270555,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,Matthias Dandois,matthiasdandois,Lotfi Lamaali,lotfiwoodwalker,Axel Massin,axel.massin,Samuel Volery Swiss Highliner,samuelvolery,Tia Balacey,tia.balacey,Action Sport International,asiprod,,,,,,,
https://www.instagram.com/p/Cjs64inot_g/,"#ConnectWith @matthiasdandois au Pic du Midi🙌
🏔️Perchée à 2877m d’altitude, l’antenne du Pic du midi s’élève à +de 100m !
Construite en 1959, son installation fut un vrai défi technique sur un sommet où les vents atteignent 270km/h🌬️ 

📸 @axel.massin / @asiprod

#ConnectWith @matthiasdandois at the top of the Pic du Midi🙌
🏔️ At 2877m of altitude, the antenna of the Pic du Midi rises to over 100m!
Built in 1959, its installation was a real technical challenge on a summit where winds can reach 270km/h🌬️ 

#PicDuMidi #Rider #Wireless
#Pictoftheday #travel #enjoylife",2,101,2022-10-14T17:05:27.000Z,false,true,Photo,,,"Photo shared by Orange on October 14, 2022 tagging @matthiasdandois, @lotfiwoodwalker, @axel.massin, @samuelvolery, @tia.balacey, and @asiprod. May be an image of nature.",https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/311600209_209249454777542_1256393109382945450_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=0LogSJL_VqsAX-fjNmJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_2bpgRt-AVtwwWHcwuuJvUxXcVHWJlcZCUKS42EMk88g&oe=63523A0C&_nc_sid=8fd12b,2948990737533946709,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,Matthias Dandois,matthiasdandois,Lotfi Lamaali,lotfiwoodwalker,Axel Massin,axel.massin,Samuel Volery Swiss Highliner,samuelvolery,Tia Balacey,tia.balacey,Action Sport International,asiprod,,,,,,,
https://www.instagram.com/p/Cjs64inot_g/,"#ConnectWith @matthiasdandois au Pic du Midi🙌
🏔️Perchée à 2877m d’altitude, l’antenne du Pic du midi s’élève à +de 100m !
Construite en 1959, son installation fut un vrai défi technique sur un sommet où les vents atteignent 270km/h🌬️ 

📸 @axel.massin / @asiprod

#ConnectWith @matthiasdandois at the top of the Pic du Midi🙌
🏔️ At 2877m of altitude, the antenna of the Pic du Midi rises to over 100m!
Built in 1959, its installation was a real technical challenge on a summit where winds can reach 270km/h🌬️ 

#PicDuMidi #Rider #Wireless
#Pictoftheday #travel #enjoylife",2,101,2022-10-14T17:05:27.000Z,false,true,Photo,,,"Photo shared by Orange on October 14, 2022 tagging @matthiasdandois, @lotfiwoodwalker, @axel.massin, @samuelvolery, @tia.balacey, and @asiprod. May be an image of nature.",https://www.instagram.com/orange,orange,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/311593174_1195174471038317_9207796728773107697_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=VKScZXf_NCUAX_60CSV&tn=6RcnSLE0WfnYQYqF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_j2W6O5PsT2W_CHaUQrAwFlxGfBofDuhE4BQhuOQ8Q2w&oe=6352AFF7&_nc_sid=8fd12b,2948990744572148808,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,Matthias Dandois,matthiasdandois,Lotfi Lamaali,lotfiwoodwalker,Axel Massin,axel.massin,Samuel Volery Swiss Highliner,samuelvolery,Tia Balacey,tia.balacey,Action Sport International,asiprod,,,,,,,
https://www.instagram.com/p/CjqBXEJsMHM/,"Looking for the sickest spot is what inspires me to keep on riding everyday. 
After travelling to over 90 countries, I can say that riding on a transparent platform, on top of Pic du Midi, located over 2800m high goes right in my top 3!
#ConnectWith @orange
🎥 @axel.massin / @asiprod",53,2529,2022-10-13T14:10:52.000Z,false,false,Video,https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/310302318_988384149219054_6198469118297673935_n.mp4?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=4660otuUCZ8AX9Ij94S&tn=6RcnSLE0WfnYQYqF&edm=AOQ1c0wBAAAA&ccb=7-5&oe=634DE15C&oh=00_AT8bO_edbkTjv0Gz0hAEecWjDb5Gc_uywG_hElLWjZqyHQ&_nc_sid=8fd12b,17983,,https://www.instagram.com/matthiasdandois,matthiasdandois,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/311503962_117763417614128_6502390113458844080_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=88z8b8G0kkYAX_zCbe-&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8y6t4gvvWXbm3_ZE1mNCmnGyvzaYu3NA9A9Z6toY7lSg&oe=634E4984&_nc_sid=8fd12b,2948174889119433164,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,Orange,orange,Axel Massin,axel.massin,Gu - FPV PILOT 🚁,4dase,Guillaume VALLADEAU,asimanagement,Action Sport International,asiprod,,,Pic Du Midi Du Bigorre,390628555,,,,,
https://www.instagram.com/p/Cjn57JHMb30/,"Il y a 1 an on vous annonçait le lancement du @teamorangerunning et du #MarathonPourTous. 

🎯 #ObjectifParis2024 🔥

C’est 1 objectif : « Connecter le monde pour l’évènement le plus suivi de l’année. » 

Un défi technologique. Un défi humain. 

🎤 @Zack_Nani revient sur le défi d’Orange pour @Paris2024 

#paris2024 #olympicgames #seineriver #connecting",1,106,2022-10-12T18:23:05.000Z,false,false,Video,https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/10000000_601899688352668_2451099974833553586_n.mp4?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=3N3TRzNXE-oAX-64fl-&edm=AOQ1c0wBAAAA&ccb=7-5&oe=634E5964&oh=00_AT-mlfeLoFrD7MrqHoEhwN7s11jL_x10-pthOFqEeqQIog&_nc_sid=8fd12b,1147,,https://www.instagram.com/orange,orange,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/311193828_1515883015596057_6796721903450899796_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=YYbPE04lIIMAX_-hf2y&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8eotKNk5RvpIWrM3KrwWkrXo_WDwffY6zGDvxdJw7CRw&oe=634E4656&_nc_sid=8fd12b,2947579234021916148,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjlBf2SqqLO/,"Regarder les épreuves de mobilité des Jeux de Paris 2024 en quasi instantanée depuis son canapé, c’est possible !

Et c’est grâce à la 5G ! On t’explique quels moyens vont être déployés pour couvrir cet évènement historique et offrir une retransmission en direct aux 4 milliards de téléspectateurs !

En partenariat rémunéré avec @orange

#Paris2024 #5G #curieux #tech",13,858,2022-10-11T15:29:54.000Z,false,false,Video,https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/10000000_149355537474336_7181080224717229446_n.mp4?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=7jLLTayfXPQAX_Go97C&tn=6RcnSLE0WfnYQYqF&edm=AOQ1c0wBAAAA&ccb=7-5&oe=634E6D05&oh=00_AT_Yx0xfQJKS5B2YwdZ5v2R_3GrqadyCQmYQp1z806EUZw&_nc_sid=8fd12b,9848,,https://www.instagram.com/curieuxlive,curieuxlive,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/311218665_3265099377140541_4203077711597426909_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=X64Bm5qMeb8AX9IrhZ-&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8X3uHTNb7lhypFDWkxj_T8PQhfuXZgu3Gpt1lm9pCUgA&oe=634E8013&_nc_sid=8fd12b,2946768117829378766,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,Orange,orange,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjkqNIxs2b1/,"Les domaines d’actions pour atteindre la neutralité carbone sont multiples et les projets de la catégorie Net 0 Carbone le sont tout autant.
Produire de l’énergie propre (solaire en l’occurrence) est à présent tout aussi important que d’acheminer des produits en limitant l’impact carbone ou encore favoriser la réparation d’engins telecoms afin de les remettre en circulation.
Ces projets sont une petite illustration de l’engagement environnemental chez les salariés Orange.
 

The fields of action to reach carbon neutrality are multiple and so are the projects of the Net 0 Carbon category.
Producing clean energy (solar energy in this case) is now just as important as transporting products while limiting the carbon impact or promoting the repair of telecoms equipment in order to put them back into circulation.
These projects are a small illustration of the environmental commitment of Orange employees.
Projects  👏 Les fermes solaires/Carbonbusters/Ogreen

#engagementmakers  #employeecommitment #carbonneutrality #carbonneutral #solarenergy #solarfarm #reuse #recycle

📸 @ibrahim_nabeel_photographer 
 @lesjouesrouges",2,179,2022-10-11T12:05:43.000Z,false,true,Photo,,,"Photo by Orange on October 11, 2022. May be an image of 1 person, outdoors and text that says 'orage'.",https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/311124174_513158670827908_5783737847622563074_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=oIYUF41tjHEAX9DYHuC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-vwjaxJOGdeLCrimwMxdFns27JNayfiTPQfMAp2Nu42A&oe=6352C42B&_nc_sid=8fd12b,2946665672063680260,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjkqNIxs2b1/,"Les domaines d’actions pour atteindre la neutralité carbone sont multiples et les projets de la catégorie Net 0 Carbone le sont tout autant.
Produire de l’énergie propre (solaire en l’occurrence) est à présent tout aussi important que d’acheminer des produits en limitant l’impact carbone ou encore favoriser la réparation d’engins telecoms afin de les remettre en circulation.
Ces projets sont une petite illustration de l’engagement environnemental chez les salariés Orange.
 

The fields of action to reach carbon neutrality are multiple and so are the projects of the Net 0 Carbon category.
Producing clean energy (solar energy in this case) is now just as important as transporting products while limiting the carbon impact or promoting the repair of telecoms equipment in order to put them back into circulation.
These projects are a small illustration of the environmental commitment of Orange employees.
Projects  👏 Les fermes solaires/Carbonbusters/Ogreen

#engagementmakers  #employeecommitment #carbonneutrality #carbonneutral #solarenergy #solarfarm #reuse #recycle

📸 @ibrahim_nabeel_photographer 
 @lesjouesrouges",2,179,2022-10-11T12:05:43.000Z,false,true,Photo,,,"Photo by Orange on October 11, 2022. May be an image of 1 person, outdoors and text that says 'orage'.",https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/311321068_133748509414964_5519920113993269244_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=e9IEZyfr46IAX-zweQN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-yaxJHLrd_SofBpRQFtBU6VDgxVR6AqIucLuajfcNA4A&oe=63531D1A&_nc_sid=8fd12b,2946665672281787888,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjkqNIxs2b1/,"Les domaines d’actions pour atteindre la neutralité carbone sont multiples et les projets de la catégorie Net 0 Carbone le sont tout autant.
Produire de l’énergie propre (solaire en l’occurrence) est à présent tout aussi important que d’acheminer des produits en limitant l’impact carbone ou encore favoriser la réparation d’engins telecoms afin de les remettre en circulation.
Ces projets sont une petite illustration de l’engagement environnemental chez les salariés Orange.
 

The fields of action to reach carbon neutrality are multiple and so are the projects of the Net 0 Carbon category.
Producing clean energy (solar energy in this case) is now just as important as transporting products while limiting the carbon impact or promoting the repair of telecoms equipment in order to put them back into circulation.
These projects are a small illustration of the environmental commitment of Orange employees.
Projects  👏 Les fermes solaires/Carbonbusters/Ogreen

#engagementmakers  #employeecommitment #carbonneutrality #carbonneutral #solarenergy #solarfarm #reuse #recycle

📸 @ibrahim_nabeel_photographer 
 @lesjouesrouges",2,179,2022-10-11T12:05:43.000Z,false,true,Photo,,,"Photo by Orange on October 11, 2022. May be an image of 1 person, outdoors and text that says 'orage'.",https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/310458562_629711642141562_8921534139184806787_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=eeavJxAWfGsAX8a_Nn5&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9LZ8UvfKVaydQzkYgFNhv1iXup2Ums-jXhw71m0jNymw&oe=6352565E&_nc_sid=8fd12b,2946665672072030926,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjkqNIxs2b1/,"Les domaines d’actions pour atteindre la neutralité carbone sont multiples et les projets de la catégorie Net 0 Carbone le sont tout autant.
Produire de l’énergie propre (solaire en l’occurrence) est à présent tout aussi important que d’acheminer des produits en limitant l’impact carbone ou encore favoriser la réparation d’engins telecoms afin de les remettre en circulation.
Ces projets sont une petite illustration de l’engagement environnemental chez les salariés Orange.
 

The fields of action to reach carbon neutrality are multiple and so are the projects of the Net 0 Carbon category.
Producing clean energy (solar energy in this case) is now just as important as transporting products while limiting the carbon impact or promoting the repair of telecoms equipment in order to put them back into circulation.
These projects are a small illustration of the environmental commitment of Orange employees.
Projects  👏 Les fermes solaires/Carbonbusters/Ogreen

#engagementmakers  #employeecommitment #carbonneutrality #carbonneutral #solarenergy #solarfarm #reuse #recycle

📸 @ibrahim_nabeel_photographer 
 @lesjouesrouges",2,179,2022-10-11T12:05:43.000Z,false,true,Photo,,,"Photo by Orange on October 11, 2022. May be an image of 1 person, outdoors and text that says 'orage'.",https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/311095965_625506205879880_143513396192863036_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=-CqoYIzI5gMAX9_FF5U&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT80KlBIT5mApZihCFfcyRWPIdndTSU3XRfIa0w0DPWxiw&oe=63537D05&_nc_sid=8fd12b,2946665672072229375,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjiJl20shF0/,"La catégorie Solidarité regroupe 3 projets avec des cibles bien différentes et la même volonté d’accompagnement.
L’engagement solidaire chez Orange prend bien des formes : l’accompagnement de jeunes étudiants en situation de précarité, l’encadrement digital d’entrepreneurs sociaux ou encore la reconduction de mobilier Orange à ceux qui en ont besoin.
 

The Solidarity category brings together 3 projects with very different targets and the same desire to provide support.
Orange's commitment to solidarity takes many forms: support for young students in precarious situations, digital coaching for social entrepreneurs, or the renewal of Orange furniture to those who need it.
Projects 👏: Reemploi/Consulting for Good/Don’Acteurs

#engagementmakers #employeecommitment #recycle #reuse #techforgoog #digitalsupport #solidarity 

📸: @lesjouesrouges",7,135,2022-10-10T12:42:15.000Z,false,true,Photo,,,"Photo by Orange on October 10, 2022. May be an image of indoor.",https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/310930665_497401612026554_140071406111140314_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=7olxiKJ2ABQAX-Pv_Jk&tn=6RcnSLE0WfnYQYqF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8clURTxwaFNo2yPPKGN3RgwRaSZUaZAw1tdXyuSdmaJg&oe=6352CBA8&_nc_sid=8fd12b,2945959286359122984,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjiJl20shF0/,"La catégorie Solidarité regroupe 3 projets avec des cibles bien différentes et la même volonté d’accompagnement.
L’engagement solidaire chez Orange prend bien des formes : l’accompagnement de jeunes étudiants en situation de précarité, l’encadrement digital d’entrepreneurs sociaux ou encore la reconduction de mobilier Orange à ceux qui en ont besoin.
 

The Solidarity category brings together 3 projects with very different targets and the same desire to provide support.
Orange's commitment to solidarity takes many forms: support for young students in precarious situations, digital coaching for social entrepreneurs, or the renewal of Orange furniture to those who need it.
Projects 👏: Reemploi/Consulting for Good/Don’Acteurs

#engagementmakers #employeecommitment #recycle #reuse #techforgoog #digitalsupport #solidarity 

📸: @lesjouesrouges",7,135,2022-10-10T12:42:15.000Z,false,true,Photo,,,"Photo by Orange on October 10, 2022. May be an image of indoor.",https://www.instagram.com/orange,orange,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/311274050_413923330901823_2609951064604831138_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=4Ir55xjCExgAX9HGZfN&tn=6RcnSLE0WfnYQYqF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-x-ILfT1Jzi3e9lwdrwup2y1aku_wN92dzWFlv-JzyEQ&oe=6353BCB5&_nc_sid=8fd12b,2945959286367582565,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjiJl20shF0/,"La catégorie Solidarité regroupe 3 projets avec des cibles bien différentes et la même volonté d’accompagnement.
L’engagement solidaire chez Orange prend bien des formes : l’accompagnement de jeunes étudiants en situation de précarité, l’encadrement digital d’entrepreneurs sociaux ou encore la reconduction de mobilier Orange à ceux qui en ont besoin.
 

The Solidarity category brings together 3 projects with very different targets and the same desire to provide support.
Orange's commitment to solidarity takes many forms: support for young students in precarious situations, digital coaching for social entrepreneurs, or the renewal of Orange furniture to those who need it.
Projects 👏: Reemploi/Consulting for Good/Don’Acteurs

#engagementmakers #employeecommitment #recycle #reuse #techforgoog #digitalsupport #solidarity 

📸: @lesjouesrouges",7,135,2022-10-10T12:42:15.000Z,false,true,Photo,,,"Photo by Orange on October 10, 2022. May be an image of indoor.",https://www.instagram.com/orange,orange,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/311427574_438732238359270_4825273579822201289_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qXFsC3HekPoAX_VIHa1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9oRz7J2OHCitE-WmQPn6ToyCDOgPvo-2BnFS-PBz81jA&oe=63529971&_nc_sid=8fd12b,2945959286359145599,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CjiJl20shF0/,"La catégorie Solidarité regroupe 3 projets avec des cibles bien différentes et la même volonté d’accompagnement.
L’engagement solidaire chez Orange prend bien des formes : l’accompagnement de jeunes étudiants en situation de précarité, l’encadrement digital d’entrepreneurs sociaux ou encore la reconduction de mobilier Orange à ceux qui en ont besoin.
 

The Solidarity category brings together 3 projects with very different targets and the same desire to provide support.
Orange's commitment to solidarity takes many forms: support for young students in precarious situations, digital coaching for social entrepreneurs, or the renewal of Orange furniture to those who need it.
Projects 👏: Reemploi/Consulting for Good/Don’Acteurs

#engagementmakers #employeecommitment #recycle #reuse #techforgoog #digitalsupport #solidarity 

📸: @lesjouesrouges",7,135,2022-10-10T12:42:15.000Z,false,true,Photo,,,"Photo by Orange on October 10, 2022. May be an image of indoor.",https://www.instagram.com/orange,orange,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/311432314_2230333290476951_3499355240867415399_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=8SSu48Xt3WkAX_m6up6&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9NeTOJ0HSKQDgI8aydGpKpY0bvW5t0mcNmUXQ48gRdUw&oe=635377FC&_nc_sid=8fd12b,2945959286358957735,2022-10-16T11:03:37.059Z,https://www.instagram.com/orange/?hl=fr,,,,,,,,,,,,,,,,,,,
